"Start","End","Week_2020_01","Week_2020_02","Week_2020_03","Week_2020_04","Week_2020_05","Week_2020_06","Week_2020_07","Week_2020_08","Week_2020_09","Week_2020_10","Week_2020_11","Week_2020_12","Week_2020_13","Week_2020_14","Week_2020_15","Week_2020_16","Week_2020_17","Week_2020_18","Week_2020_19","Week_2020_20","Week_2020_21","Week_2020_22","Week_2020_23","Week_2020_24","Week_2020_25","Week_2020_36","Week_2020_37","Week_2020_38","Week_2020_39","Week_2020_40","Week_2020_41","Week_2020_42","Week_2020_43","Week_2020_44","Week_2020_45","Week_2020_46","Week_2020_47","Week_2020_48","Week_2020_49","Week_2020_50","Week_2020_51"
"Albano Sant'Alessandro","Albano Sant'Alessandro",1553,3348,3731,4348,8789,1987,8286,5215,4939,8357,5463,3684,1949,9219,5203,9090,8299,9943,5977,4682,2056,9422,6619,7987,3396,2559,6289,6845,5422,9331,9677,2921,8798,2908,2618,9873,4553,3387,1793,6088,985
"Albano Sant'Alessandro","Arcene",9141,6857,3737,5911,3075,2008,6073,2254,7498,7754,3658,8775,7182,3056,4928,7272,6493,7541,3275,4131,3548,5281,3314,1172,1088,5276,4695,6248,8185,5374,3081,6265,96,1106,3381,7100,7454,2911,7009,9299,1222
"Albano Sant'Alessandro","Bariano",2857,6135,5973,5814,3835,2685,4197,8913,2499,4726,5826,8576,8572,2910,4985,534,6790,3646,113,7262,7280,8265,643,4109,1909,5124,2212,9218,6849,6797,921,9371,3924,5838,90,9349,7670,4626,7312,1629,1140
"Albano Sant'Alessandro","Bergamo",3418,6260,9089,2085,2182,7131,8494,4002,3505,4797,4062,6069,7884,104,2979,1163,2348,5137,7054,4449,7878,5717,9210,7420,2912,7832,557,9851,4466,4520,7674,1120,7157,1018,3059,609,4879,9924,4262,2080,8699
"Albano Sant'Alessandro","Brescia",4578,7181,7326,3900,6428,6580,9707,5901,2329,1933,6791,4297,8463,7591,906,9828,9872,2587,6330,5986,8037,2370,3148,6706,5901,5084,1993,8255,8547,309,8518,4524,6627,6770,1686,2242,3662,117,3124,9164,3681
"Albano Sant'Alessandro","Calusco d'Adda",9194,2778,6824,2817,7146,4021,8106,5120,6341,700,4529,7091,1432,798,6548,9549,5885,8154,3804,7498,2564,329,8675,2433,7620,4655,8909,5446,3120,7573,797,8720,8102,8833,8736,670,5282,6200,8621,7573,3678
"Albano Sant'Alessandro","Caravaggio",8292,485,7433,6309,4353,8434,3866,1521,6499,6820,9165,3700,5806,2629,5844,7049,2054,2023,963,2785,3367,4425,6628,96,6387,1970,8473,4699,8520,2470,1400,4796,8831,9697,7702,4466,7521,7150,10,2890,580
"Albano Sant'Alessandro","Chiari",4818,5374,9463,9584,697,780,395,4322,2160,8022,4531,2086,6701,4824,4888,2897,9844,3266,2939,3677,1137,1957,4796,7242,2767,644,1907,5358,7744,1345,5797,891,7680,6737,7394,3369,433,734,2895,2763,3272
"Albano Sant'Alessandro","Chiuduno",3591,160,9032,1801,4722,8565,9993,721,7641,1037,1765,9428,9355,8574,9212,3030,3017,5192,7207,3060,1896,3068,950,5915,7325,8446,1981,1848,2024,6118,2995,9346,8488,7426,6030,3330,290,5276,9052,3828,4351
"Albano Sant'Alessandro","Cividate al Piano",124,4493,8250,3489,7091,1204,5162,5001,1421,3064,8716,9197,1424,9866,8206,711,4076,8449,587,9334,9893,1279,9286,5162,3272,3218,8864,27,9996,6398,9043,3128,2091,9148,7448,1086,6610,5551,4901,6941,3792
