"Codice","Nome","Comune","Provincia"
"S00033","ALBONESE","Cilavegna","PV"
"S00034","MORTARA","Mortara","PV"
"S00036","OLEVANO","Olevano di Lomellina","PV"
"S00037","VALLE LOMELLINA","Valle Lomellina","PV"
"S00038","SARTIRANA","Sartirana Lomellina","PV"
"S00039","TORREBERETTI","Torre Beretti e Castellaro","PV"
"S00271","PALESTRO","Palestro","PV"
"S00272","ROBBIO","Robbio","PV"
"S00273","NICORVO","Nicorvo","PV"
"S00274","GAMBOLO'-REMONDO'","Gambolò","PV"
"S00275","TROMELLO","Tromello","PV"
"S00276","GARLASCO","Garlasco","PV"
"S00277","GROPELLO CAIROLI","Gropello Cairoli","PV"
"S00278","VILLANOVA D'ARDENGHI","Villanova d'Ardenghi","PV"
"S00279","CAVA CARBONARA","Sommo","PV"
"S00400","SAIRANO ZINASCO","Zinasco","PV"
"S00401","ZINASCO NUOVO","Zinasco","PV"
"S00402","PIEVE ALBIGNOLA","Pieve Albignola","PV"
"S00403","SANNAZZARO","Sannazzaro de' Burgondi","PV"
"S00404","FERRERA LOMELLINA","Ferrera Erbognone","PV"
"S00405","LOMELLO","Lomello","PV"
"S00406","MEDE","Mede","PV"
"S00408","SAIRANO","Zinasco","PV"
"S01002","EDOLO","Edolo","BS"
"S01005","BRENO","Breno","BS"
"S01006","DARFO - CORNA","Darfo Boario Terme","BS"
"S01014","PISOGNE","Pisogne","BS"
"S01021","ISEO","Iseo","BS"
"S01026","SESTO CALENDE","Sesto Calende","VA"
"S01027","VERGIATE","Vergiate","VA"
"S01028","SOMMA LOMBARDO","Somma Lombardo","VA"
"S01029","CASORATE SEMPIONE","Casorate Sempione","VA"
"S01030","GALLARATE","Gallarate","VA"
"S01031","BUSTO ARSIZIO","Busto Arsizio","VA"
"S01032","MILANO ROMOLO","Milano","MI"
"S01033","LEGNANO","Legnano","MI"
"S01034","CANEGRATE","Canegrate","MI"
"S01035","PARABIAGO","Parabiago","MI"
"S01036","VANZAGO POGLIANO","Vanzago","MI"
"S01037","RHO","Rho","MI"
"S01039","RHO FIERA","Rho","MI"
"S01040","MAGENTA","Magenta","MI"
"S01041","CORBETTA-S.STEFANO TICINO","Santo Stefano Ticino","MI"
"S01042","VITTUONE ARLUNO","Vittuone","MI"
"S01058","PREGNANA MILANESE","Pregnana Milanese","MI"
"S01059","ALBAIRATE-VERMEZZO","Albairate","MI"
"S01060","PARONA LOMELLINA","Parona","PV"
"S01061","VIGEVANO","Vigevano","PV"
"S01062","ABBIATEGRASSO","Abbiategrasso","MI"
"S01063","GAGGIANO","Gaggiano","MI"
"S01064","CORSICO","Corsico","MI"
"S01065","TREZZANO SUL NAVIGLIO","Trezzano sul Naviglio","MI"
"S01066","MILANO CADORNA","Milano","MI"
"S01067","MILANO DOMODOSSOLA","Milano","MI"
"S01069","MILANO QUARTO OGGIARO","Milano","MI"
"S01070","NOVATE MILANESE","Novate Milanese","MI"
"S01071","BOLLATE CENTRO","Bollate","MI"
"S01072","BOLLATE NORD","Bollate","MI"
"S01073","GARBAGNATE PARCO DELLE GROANE","Garbagnate Milanese","MI"
"S01074","GARBAGNATE MILANESE","Garbagnate Milanese","MI"
"S01075","CESATE","Cesate","MI"
"S01076","CARONNO PERTUSELLA","Caronno Pertusella","VA"
"S01077","SARONNO SUD","Saronno","VA"
"S01078","MILANO AFFORI","Milano","MI"
"S01079","MILANO BRUZZANO PARCO NORD","Milano","MI"
"S01082","PADERNO DUGNANO","Paderno Dugnano","MI"
"S01083","PALAZZOLO MILANESE","Paderno Dugnano","MI"
"S01084","VAREDO","Varedo","MB"
"S01085","BOVISIO MASCIAGO","Bovisio-Masciago","MB"
"S01086","CESANO MADERNO","Cesano Maderno","MB"
"S01087","MEDA","Meda","MB"
"S01088","CABIATE","Cabiate","CO"
"S01089","MARIANO COMENSE","Mariano Comense","CO"
"S01091","CARUGO - GIUSSANO","Carugo","CO"
"S01092","AROSIO","Arosio","CO"
"S01093","INVERIGO","Inverigo","CO"
"S01094","LAMBRUGO - LURAGO D'ERBA","Lambrugo","CO"
"S01096","ERBA","Erba","CO"
"S01097","PONTELAMBRO - CASTELMARTE","Ponte Lambro","CO"
"S01098","CASLINO D'ERBA","Castelmarte","CO"
"S01099","CANZO","Canzo","CO"
"S01101","ASSO","Canzo","CO"
"S01104","PIEVE EMANUELE","Pieve Emanuele","MI"
"S01109","CORMANO - CUSANO MILANINO","Cusano Milanino","MI"
"S01111","COLMEGNA","Luino","VA"
"S01112","CESANO BOSCONE","Cesano Boscone","MI"
"S01113","LUINO","Luino","VA"
"S01116","PORTO VALTRAVAGLIA","Porto Valtravaglia","VA"
"S01117","CALDE'","Castelveccana","VA"
"S01118","LAVENO MOMBELLO","Laveno-Mombello","VA"
